plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p10,0_2,702,0.072,,
p10,0_2,702,0.072,,
p10,0_2,494,0.064,,
p10,0_2,494,0.064,,
p10,0_2,256,0.064,,
p10,0_2,256,0.064,,
p10,0_2,365,0.064,,
p10,0_2,58,0.048,,
p10,0_2,58,0.048,,
p10,0_2,58,0.048,,
p10,0_2,230,0.047,,
p10,0_2,230,0.047,,
p10,0_2,118,0.04,,
p10,0_2,154,0.037,,
p10,1_0,358,0.134,,
p10,1_0,100,0.133,,
p10,1_0,42,0.122,,
p10,1_0,29,0.108,,
p10,1_0,29,0.108,,
p10,1_0,29,0.108,,
p10,1_0,97,0.104,,
p10,1_0,246,0.1,,
p10,1_0,354,0.147,,
p10,1_0,249,0.136,,
p10,1_0,366,0.135,,
p10,1_0,358,0.134,,
p10,1_0,42,0.122,,
p10,1_0,60,0.118,,
p10,1_0,210,0.111,,
p10,1_0,400,0.109,,
p10,1_0,97,0.104,,
p10,1_0,246,0.1,,
p10,1_0,28,0.137,3,
p10,1_0,349,0.134,2,good
p10,1_0,100,0.133,2,
p10,1_0,364,0.122,3,good
p10,1_0,29,0.108,3,
p10,1_0,481,0.105,4,good
p10,1_0,117,0.098,,
p10,1_0,95,0.096,,
p10,1_0,95,0.096,,
p10,1_0,222,0.093,,
p10,1_0,137,0.093,,
p10,1_0,49,0.088,,
p10,1_0,58,0.088,,
p10,1_0,58,0.088,,
p10,1_0,58,0.088,,
p10,1_0,58,0.088,,
p10,1_0,235,0.082,,
p10,1_0,181,0.081,,
p10,1_0,263,0.078,,
p10,1_0,150,0.076,,
p10,1_0,115,0.075,,
p10,1_0,115,0.075,,
p10,1_0,115,0.075,,
p10,1_0,115,0.075,,
p10,1_0,115,0.075,,
p10,1_0,208,0.072,,
p10,1_0,208,0.072,,
p10,1_0,9,0.071,,
p10,1_0,9,0.071,,
p10,1_0,9,0.071,,
p10,1_0,9,0.071,,
p10,1_0,328,0.07,,
p10,1_0,328,0.07,,
p10,1_0,282,0.07,,
p10,1_0,275,0.069,,
p10,1_0,84,0.067,,
p10,1_0,84,0.067,,
p10,1_0,503,0.064,,
p10,1_0,503,0.064,,
p10,1_0,503,0.064,,
p10,1_0,750,0.063,,
p10,1_0,750,0.063,,
p10,1_0,750,0.063,,
p10,1_0,673,0.06,,
p10,1_0,673,0.06,,
p10,1_0,247,0.056,,
p10,1_0,76,0.054,,
p10,1_0,76,0.054,,
p10,1_0,76,0.054,,
p10,1_0,111,0.053,,
p10,1_0,111,0.053,,
p10,1_0,605,0.052,,
p10,1_0,807,0.048,,
p10,1_0,807,0.048,,
p10,1_0,228,0.039,,
p10,1_0,239,0.036,,
p10,1_0,239,0.036,,
p10,1_1,29,0.208,,
p10,1_1,14,0.187,,
p10,1_1,25,0.118,,
p10,1_1,25,0.118,,
p10,1_1,25,0.118,,
p10,1_1,87,0.111,,
p10,1_1,114,0.111,,
p10,1_1,124,0.108,,
p10,1_1,36,0.1,,
p10,1_1,51,0.1,,
p10,1_1,51,0.1,,
p10,1_1,51,0.1,,
p10,1_1,29,0.208,,
p10,1_1,14,0.187,,
p10,1_1,21,0.166,,
p10,1_1,257,0.134,,
p10,1_1,101,0.128,,
p10,1_1,114,0.111,,
p10,1_1,124,0.108,,
p10,1_1,148,0.102,,
p10,1_1,51,0.1,,
p10,1_1,110,0.526,7,good
p10,1_1,333,0.369,5,good
p10,1_1,47,0.355,4.5,good
p10,1_1,38,0.322,3.2,good
p10,1_1,268,0.308,4,good
p10,1_1,31,0.303,4.8,good
p10,1_1,75,0.245,3,good
p10,1_1,313,0.236,3,good
p10,1_1,260,0.215,5,good
p10,1_1,85,0.198,4,good
p10,1_1,34,0.195,,
p10,1_1,229,0.192,2,good
p10,1_1,272,0.191,4,good
p10,1_1,270,0.183,5,good
p10,1_1,44,0.147,2.5,good
p10,1_1,25,0.118,2,
p10,1_1,371,0.117,3.6,
p10,1_1,87,0.111,,
p10,1_1,36,0.1,2.5,
p10,1_1,13,0.095,,
p10,1_1,151,0.091,,
p10,1_1,440,0.09,,
p10,1_1,178,0.09,,
p10,1_1,178,0.09,,
p10,1_1,178,0.09,,
p10,1_1,175,0.086,,
p10,1_1,175,0.086,,
p10,1_1,175,0.086,,
p10,1_1,19,0.082,,
p10,1_1,19,0.082,,
p10,1_1,295,0.082,,
p10,1_1,112,0.065,,
p10,1_1,112,0.065,,
p10,1_1,112,0.065,,
p10,1_1,206,0.065,,
p10,1_1,112,0.065,,
p10,1_1,177,0.064,,
p10,1_1,177,0.064,,
p10,1_1,177,0.064,,
p10,1_1,177,0.064,,
p10,1_1,177,0.064,,
p10,1_2,273,0.244,,
p10,1_2,17,0.22,,
p10,1_2,17,0.22,,
p10,1_2,331,0.216,,
p10,1_2,331,0.216,,
p10,1_2,62,0.123,,
p10,1_2,244,0.28,,
p10,1_2,685,0.111,,
p10,1_2,148,0.596,3,good
p10,1_2,2,0.458,5.5,good
p10,1_2,273,0.244,4,good
p10,1_2,52,0.233,4.7,good
p10,1_2,17,0.22,5.5,good
p10,1_2,331,0.216,3.8,good
p10,1_2,277,0.214,4.5,good
p10,1_2,39,0.21,5,good
p10,1_2,14,0.209,4.8,good
p10,1_2,309,0.206,7.5,good
